nombre,lon,lat,origen
Abtao,-74.0802,-42.1925,Inseguro
Achao,-73.5125,-42.4639,Chono
Acheuque,-73.3845,-42.3604,Inseguro
Acuy,-73.2541,-42.5517,Inseguro
Ahuenco,-74.03,-42.06,Williche
Ahui,-73.8761603,-41.804621,Inseguro
Ahulliñe,-73.2266879,-42.7399996,Inseguro
Aitue,-73.4989049,-42.8518194,Inseguro
Aituy,-73.4989049,-42.8518194,Inseguro
Alao,-73.3097417,-42.6000853,Inseguro
Alcaldeo,-73.8300173,-42.5488346,Williche
Alcaldeo de Rauco,-73.51449,-42.33416,Williche
Alcalebo,-74.0948943,-42.5692644,Williche
Aldachildo,-73.616264,-42.5817402,Inseguro
Alqui,-73.4978028,-42.9670169,Williche
Anay,-74.1644522,-42.4638916,Inseguro
Ancud,-73.81622,-41.8707,Inseguro
Añihué,-73.2569664,-42.3352768,Williche
Aoní,-73.568925,-42.7582206,Inseguro
Apahuén,-73.5260536,-42.6779956,Williche
Apeche,-73.6228307,-42.8243444,Inseguro
Apiao,-73.2233553,-42.5983323,Inseguro
Aucaco,-73.9580446,-41.911137,Inseguro
Aucar,-73.4897306,-42.1614932,Inseguro
Auchac,-73.549059,-43.030311,Chono
Aucho,-73.4684475,-42.0571688,Inseguro
Aulín,-73.1694664,-42.2522212,Chono
Auquilda,-73.839237,-42.3815603,Inseguro
Ayao,-74.1718453,-42.8872723,Inseguro
Balcacura,-73.8821732,-41.8548246,Williche
Belbén,-73.7306986,-42.0487739,Inseguro
Betecoi,-73.8823422,-43.9659263,Inseguro
Butachauques,-73.1105775,-42.3013879,Inseguro
Butalcura,-73.7404137,-42.2525927,Williche
Butamanga,-73.6315265,-41.8400463,Williche
Caguach,-73.3189425,-42.491137,Chono
Cahuala,-73.9233885,-42.6949893,Inseguro
Cahualdao,-73.5911626,-42.6435579,Inseguro
Caicumeo,-73.8132795,-41.8757601,Inseguro
Cailin,-73.5655775,-43.169999,Chono
Caipulli,-73.7553192,-41.8980832,Williche
Cajunco,-73.7639106,-42.1952624,Inseguro
Calen,-73.4707344,-42.3291086,Inseguro
Dalcahue,-73.6887,-42.3776,Williche
Huilque,-73.3871115,-42.4659765,Inseguro
